question_file,auto_transcript
IsFreddyPushingBrandy.wav,is Freddy
IsPercyPushingMolly.wav,na
IsKennyPushingTracy.wav,na
IsKimmyKickingDavey.wav,na
IsBonniePokingBenny.wav,is Bonnie poking destiny
IsJoeyLiftingKerry.wav,na
IsWallyPushingKerry.wav,na
IsHarveyPushingSally.wav,na
IsLillyKickingDavey.wav,na
IsBonnieKissingBenny.wav,is Bonnie kissing
IsJoeyPushingHailey.wav,na
IsFrannyPullingJudy.wav,na
IsTimmyPushingKerry.wav,na
IsBonnieLiftingBenny.wav,is Bonnie listen
IsKellyPullingJudy.wav,na
IsCindyPullingBetty.wav,is Cindy poling bedding
IsJoeyPushingKerry.wav,na
IsKimmyKickingTommy.wav,Tommy
IsKimmyLiftingTommy.wav,na
IsRonniePushingBrandy.wav,is Ronnie pushing
IsJoeyKickingKerry.wav,na
IsKellyPullingCarrie.wav,is Kelly pulling Carey
IsKimmyKickingFreddy.wav,na
IsKellyKickingJudy.wav,is Kelly
IsHenryLiftingRonnie.wav,na
IsChloeKickingTommy.wav,is Chloe
IsChloeKickingGary.wav,na
IsHenryLiftingOllie.wav,na
IsMollyKickingPercy.wav,na
IsMindyKissingDanny.wav,Danny
IsTeddyPushingMolly.wav,pushing Molly
IsNancyKissingJimmy.wav,Nancy kissing Jimmy
IsOlliePushingHailey.wav,is Ali pushing Haley
IsLillyPullingBrandy.wav,is Lily Brandy
IsCindyPullingLilly.wav,is Cindy pulling Lily
IsJennyPokingMindy.wav,is Jenny toking mehndi
IsSallyKickingHarvey.wav,na
IsChloeKissingSammy.wav,Sammy
IsTracyPullingCindy.wav,na
IsVickyKissingJimmy.wav,is Vicki clipping Jimmy
IsSallyKissingBenny.wav,is Sally kissing bunny
IsJennyPullingVicky.wav,is Danny pulling
IsHaileyKissingBenny.wav,is Haley kissing bunny
IsBettyKickingHarvey.wav,na
IsBrandyKissingJerry.wav,is Brandy Jerry
IsJennyPullingJudy.wav,is Jenny
IsChloeKickingHenry.wav,Henry
IsKellyPullingBrandy.wav,na
IsJoeyPushingLaurie.wav,Lori
IsNancyKissingOllie.wav,Nancy kissing Ali
IsMandyPokingLacey.wav,na
IsDannyLiftingHenry.wav,is Dannielynn Henry
IsBettyKickingDanny.wav,na
IsKimmyPokingTommy.wav,na
IsHenryPushingBrandy.wav,na
IsJennyKickingJohnny.wav,is Jenny chicken Johnny
IsCarlieKickingTommy.wav,is Carly kicking Tommy
IsSallyKickingRonnie.wav,is Sally King Ronnie
IsBettyPullingCarlie.wav,na
IsLauriePokingCarlie.wav,is Lori poking Carly
