trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
01,item_01,Agent,Kimmy,Chloe,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,Is Chloe kicking Tommy?,no Kimmy is kicking Tommy,is Chloe kicking Tommy
02,item_01,Agent,Kimmy,Carlie,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,Is Carlie kicking Tommy?,no Kimmy is kicking Tommy,is Carlie kicking Tommy
03,item_01,Verb,Kimmy,Kimmy,Kick,Poke,Tommy,Tommy,KimmyIsKickingTommy.png,Is Kimmy poking Tommy?,no Kimmy is kicking Tommy,is Kimmy poking Tommy
04,item_01,Verb,Kimmy,Kimmy,Kick,Lift,Tommy,Tommy,KimmyIsKickingTommy.png,Is Kimmy lifting Tommy?,no Kimmy is kicking Tommy,is Kimmy lifting Tommy
05,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Freddy,KimmyIsKickingTommy.png,Is Kimmy kicking Freddy?,no Kimmy is kicking Tommy,is Kimmy kicking Freddy
06,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Davey,KimmyIsKickingTommy.png,Is Kimmy kicking Davey?,no Kimmy is kicking Tommy,is Kimmy kicking Davey
07,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,Is Kimmy kicking Tommy?,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
08,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,Is Kimmy kicking Tommy?,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
09,item_02,Agent,Bonnie,Hailey,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,Is Hailey kissing Benny?,no Bonnie is kissing Benny,is Hailey kissing Benny
10,item_02,Agent,Bonnie,Sally,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,Is Sally kissing Benny?,no Bonnie is kissing Benny,is Sally kissing Benny
11,item_02,Verb,Bonnie,Bonnie,Kiss,Poke,Benny,Benny,BonnieIsKissingBenny.png,Is Bonnie poking Benny?,no Bonnie is kissing Benny,is Bonnie poking Benny
12,item_02,Verb,Bonnie,Bonnie,Kiss,Lift,Benny,Benny,BonnieIsKissingBenny.png,Is Bonnie lifting Benny?,no Bonnie is kissing Benny,is Bonnie lifting Benny
13,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Freddy,BonnieIsKissingBenny.png,Is Bonnie kissing Freddy?,no Bonnie is kissing Benny,is Bonnie kissing Freddy
