,trial_id,worker_id,supposed_answer_transcript,auto_transcript,status,answer_files
816,1,debugKWITH,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugKWITH_prosody_study_exp0_04_23_2020_trial_01.wav
374,1,debugXcGIZ,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugXcGIZ_prosody_study_exp0_04_27_2020_trial_01.wav
946,1,debugn78O,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugn78OE_prosody_study_exp0_05_5_2020_trial_01.wav
204,1,debugfV3vu,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugfV3vu_prosody_study_exp0_04_25_2020_trial_01.wav
724,1,debug7H9Lw,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debug7H9Lw_prosody_study_exp0_04_25_2020_trial_01.wav
492,1,debugUEIdI,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugUEIdI_prosody_study_exp0_04_24_2020_trial_01.wav
586,1,debugsAs7N,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugsAs7N_prosody_study_exp0_04_23_2020_trial_01.wav
759,1,debugQsw3,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugQsw3e_prosody_study_exp0_05_5_2020_trial_01.wav
903,1,debugqjXr,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugqjXrl_prosody_study_exp0_05_3_2020_trial_01.wav
163,1,debugUi8I,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugUi8I1_prosody_study_exp0_05_2_2020_trial_01.wav
55,1,debugNRJL,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugNRJLc_prosody_study_exp0_05_4_2020_trial_01.wav
196,1,debugmUopq,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugmUopq_prosody_study_exp0_04_30_2020_trial_01.wav
784,1,debugGS5H,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugGS5HV_prosody_study_exp0_05_5_2020_trial_01.wav
852,1,debug0IAXH,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debug0IAXH_prosody_study_exp0_04_24_2020_trial_01.wav
61,1,debugThRJ,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugThRJS_prosody_study_exp0_05_3_2020_trial_01.wav
538,1,debug2Zrm7,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debug2Zrm7_prosody_study_exp0_04_26_2020_trial_01.wav
793,1,debug442SJU,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debug442SJU_prosody_study_exp0_04_20_2020_trial_01.wav
518,1,debugUhIX,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugUhIXB_prosody_study_exp0_05_4_2020_trial_01.wav
500,1,debugHgTv,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugHgTvL_prosody_study_exp0_05_3_2020_trial_01.wav
472,1,debugepQb,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugepQbq_prosody_study_exp0_05_4_2020_trial_01.wav
478,1,debugxVy5,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugxVy55_prosody_study_exp0_05_3_2020_trial_01.wav
181,1,debugXYbKK,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugXYbKK_prosody_study_exp0_04_22_2020_trial_01.wav
212,1,debugTIRYI,不 李 娜 踢 了 王 刚,blah,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp0/responses_to_analyze/debugTIRYI_prosody_study_exp0_04_22_2020_trial_01.wav
