participant,studyName,studyNameNah,expId,month,date,year,trialNah,trialId,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,sp,sp,1,0.660,0,0.660,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,22.151,46.063
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,不,不,2,0.310,0,0.310,0.6725,209.527,254.97,0.060,163.43,0.234,246.394,230.105,185.917,164.824,58.885,71.854
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,李,李,2,0.600,0,0.600,0.9825,181.993,271.51,0.027,153.50,0.311,204.119,180.128,157.333,190.143,60.623,66.467
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,踢,踢,2,0.250,0,0.250,1.5825,174.468,238.00,0,90.31,0.206,228.342,--undefined--,103.803,154.873,53.916,67.007
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,了,了,2,0.120,0,0.120,1.8325,182.742,190.64,0.008,168.73,0.120,189.593,189.240,180.631,171.505,62.829,65.896
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,王,王,3,0.250,0,0.250,1.9525,129.538,211.56,0.130,73.20,0.206,144.390,83.427,132.809,128.882,56.590,61.768
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,刚,刚,3,0.270,0,0.270,2.2025,137.845,176.23,0.213,69.65,0.075,164.280,81.786,139.760,167.563,53.228,62.234
debugajWZM,prosody,study,exp13,04,15,2020,trial,01,sp,sp,0,1.100,0,1.100,2.4725,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,22.777,38.127
debugajWZM,prosody,study,exp13,04,15,2020,trial,02,sp,sp,1,0.890,0,0.890,0.0125,137.424,137.63,0.089,137.22,0.009,137.424,--undefined--,--undefined--,--undefined--,20.424,44.916
debugajWZM,prosody,study,exp13,04,15,2020,trial,02,不,不,2,0.420,0,0.420,0.9025,191.766,234.51,0.059,160.35,0.317,221.233,207.382,174.054,165.872,58.096,74.421
debugajWZM,prosody,study,exp13,04,15,2020,trial,02,sp,sp,1,0.750,0,0.750,1.3225,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,21.481,31.399
debugajWZM,prosody,study,exp13,04,15,2020,trial,02,李,李,2,0.530,0,0.530,2.0725,159.999,207.89,0.530,76.69,0.074,135.218,172.415,159.047,168.783,62.413,67.180
