,trial_id,worker_id,supposed_answer_transcript,auto_transcript,status,answer_files
322,1,AOWY4TEB0UCMX,no Kimmy is kicking Tommy,no Kami is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AOWY4TEB0UCMX_prosody_study_exp8_01_22_2020_trial_01.wav
121,1,A2MWAXV1YRK5GH,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2MWAXV1YRK5GH_prosody_study_exp8_01_25_2020_trial_01.wav
215,1,AZBVA5LTFNE47,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AZBVA5LTFNE47_prosody_study_exp8_01_25_2020_trial_01.wav
223,1,A1R5W4RQZTROD8,no Kimmy is kicking Tommy,Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1R5W4RQZTROD8_prosody_study_exp8_01_25_2020_trial_01.wav
235,1,A333STM8M95GJX,no Kimmy is kicking Tommy,no give me a cooking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A333STM8M95GJX_prosody_study_exp8_01_25_2020_trial_01.wav
258,1,A2FLOH4DM8A4ZS,no Kimmy is kicking Tommy,no Kimi is taking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2FLOH4DM8A4ZS_prosody_study_exp8_01_25_2020_trial_01.wav
263,1,A2LBMK0NVVBDFK,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2LBMK0NVVBDFK_prosody_study_exp8_01_25_2020_trial_01.wav
283,1,A1ICZ6VHY7Y2OY,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1ICZ6VHY7Y2OY_prosody_study_exp8_01_25_2020_trial_01.wav
290,1,A17Q4QN6UE0EZC,no Kimmy is kicking Tommy,no Kimmy escaping Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17Q4QN6UE0EZC_prosody_study_exp8_01_25_2020_trial_01.wav
63,1,A2CHDWKAYZ3P3E,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2CHDWKAYZ3P3E_prosody_study_exp8_01_25_2020_trial_01.wav
17,1,A1DNJ17PE2RYJZ,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1DNJ17PE2RYJZ_prosody_study_exp8_01_25_2020_trial_01.wav
334,1,A2YCMT5BPA0AG9,no Kimmy is kicking Tommy,know Kenny is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2YCMT5BPA0AG9_prosody_study_exp8_01_25_2020_trial_01.wav
302,1,A3L0DCUXI7X3A9,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3L0DCUXI7X3A9_prosody_study_exp8_01_25_2020_trial_01.wav
475,1,A1U8RH67FLZW87,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1U8RH67FLZW87_prosody_study_exp8_01_22_2020_trial_01.wav
618,1,A17FGZ1I5P9RZA,no Kimmy is kicking Tommy,no Kimi is kicking for me,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17FGZ1I5P9RZA_prosody_study_exp8_01_25_2020_trial_01.wav
585,1,A2WIDLIJ6PVME8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2WIDLIJ6PVME8_prosody_study_exp8_01_25_2020_trial_01.wav
533,1,A16G6PPH1INQL8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A16G6PPH1INQL8_prosody_study_exp8_01_25_2020_trial_01.wav
551,1,A3S9PVM70FFORD,no Kimmy is kicking Tommy,no glory is not taking Thomas,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3S9PVM70FFORD_prosody_study_exp8_01_25_2020_trial_01.wav
432,1,A28HB7240OFGEW,no Kimmy is kicking Tommy,no Jimmy ass-kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A28HB7240OFGEW_prosody_study_exp8_01_25_2020_trial_01.wav
558,1,A3KS8NN4LZ0L4W,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3KS8NN4LZ0L4W_prosody_study_exp8_01_25_2020_trial_01.wav
395,2,A2YCMT5BPA0AG9,no Kimmy is kicking Tommy,know Kenny is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2YCMT5BPA0AG9_prosody_study_exp8_01_25_2020_trial_02.wav
84,2,A2CHDWKAYZ3P3E,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2CHDWKAYZ3P3E_prosody_study_exp8_01_25_2020_trial_02.wav
174,2,A2MWAXV1YRK5GH,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2MWAXV1YRK5GH_prosody_study_exp8_01_25_2020_trial_02.wav
