,trial_id,worker_id,supposed_answer_transcript,auto_transcript,status,answer_files
0,1,AFM65NU0UXIGP,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_01.wav
53,1,A3GLUDQZGEJL5G,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3GLUDQZGEJL5G_prosody_study_exp7_01_20_2020_trial_01.wav
36,1,A1I0DA5VWCA1FT,no Kimmy is kicking Tommy,no Kimi you can call me,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1I0DA5VWCA1FT_prosody_study_exp7_01_20_2020_trial_01.wav
79,1,A1TP0SGMUSJ34B,no Kimmy is kicking Tommy,no Kami is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1TP0SGMUSJ34B_prosody_study_exp7_01_20_2020_trial_01.wav
84,1,A2NGMLBFZ3YQP5,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2NGMLBFZ3YQP5_prosody_study_exp7_01_20_2020_trial_01.wav
118,1,A2EOOF9D135HQ1,no Kimmy is kicking Tommy,Kimmy Schmidt,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2EOOF9D135HQ1_prosody_study_exp7_01_20_2020_trial_01.wav
151,1,AC5UD8N187QD6,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_01.wav
257,1,A2FARB7LA24AU8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_01.wav
633,1,AUFUUD4WG9CVO,no Kimmy is kicking Tommy,no,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AUFUUD4WG9CVO_prosody_study_exp7_01_20_2020_trial_01.wav
574,1,A1KX1CMLUCQNFX,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1KX1CMLUCQNFX_prosody_study_exp7_01_20_2020_trial_01.wav
620,1,A1IAMNSZB9U4Z1,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1IAMNSZB9U4Z1_prosody_study_exp7_01_20_2020_trial_01.wav
342,1,A2JCK494NV7TFX,no Kimmy is kicking Tommy,no Kimi kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_01.wav
611,1,A21P1T8EW4NHOU,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_01.wav
355,1,A3HCGNV93TJO7R,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3HCGNV93TJO7R_prosody_study_exp7_01_20_2020_trial_01.wav
323,1,A1E235KE3CSO7H,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1E235KE3CSO7H_prosody_study_exp7_01_20_2020_trial_01.wav
493,1,A1SLJKNSNHOJRN,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_01.wav
405,1,A3HE8VNBXD2BR0,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3HE8VNBXD2BR0_prosody_study_exp7_01_20_2020_trial_01.wav
9,1,A24Y1NVEEY1ADM,no Kimmy is kicking Tommy,no chimney is kicking,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A24Y1NVEEY1ADM_prosody_study_exp7_01_20_2020_trial_01.wav
600,1,A3AHCT6Q7A3Q23,no Kimmy is kicking Tommy,no Jimmy is taking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_01.wav
484,1,A1PTH9KTRO06EG,no Kimmy is kicking Tommy,no Kimi is kicking down,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_01.wav
474,1,A1Z8AOIDT5IV43,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_01.wav
357,1,A1AYYDLZ60894L,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1AYYDLZ60894L_prosody_study_exp7_01_20_2020_trial_01.wav
368,2,A3HE8VNBXD2BR0,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3HE8VNBXD2BR0_prosody_study_exp7_01_20_2020_trial_02.wav
525,2,A1KX1CMLUCQNFX,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1KX1CMLUCQNFX_prosody_study_exp7_01_20_2020_trial_02.wav
56,2,A24Y1NVEEY1ADM,no Kimmy is kicking Tommy,yes nu Shooz kicking John,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A24Y1NVEEY1ADM_prosody_study_exp7_01_20_2020_trial_02.wav
674,2,A1IAMNSZB9U4Z1,no Kimmy is kicking Tommy,no Timmy's kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1IAMNSZB9U4Z1_prosody_study_exp7_01_20_2020_trial_02.wav
94,2,A1I0DA5VWCA1FT,no Kimmy is kicking Tommy,no Timmy's kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1I0DA5VWCA1FT_prosody_study_exp7_01_20_2020_trial_02.wav
664,2,A21P1T8EW4NHOU,no Kimmy is kicking Tommy,no give me a sticking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_02.wav
457,2,A1SLJKNSNHOJRN,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_02.wav
170,2,A2EOOF9D135HQ1,no Kimmy is kicking Tommy,yes Jenny kicking Johnny,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2EOOF9D135HQ1_prosody_study_exp7_01_20_2020_trial_02.wav
658,2,A3AHCT6Q7A3Q23,no Kimmy is kicking Tommy,no Kimi is taking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_02.wav
197,2,AC5UD8N187QD6,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_02.wav
222,2,A2FARB7LA24AU8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_02.wav
437,2,A1Z8AOIDT5IV43,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_02.wav
306,2,A2JCK494NV7TFX,no Kimmy is kicking Tommy,no Kimmy's kicking dumb,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_02.wav
51,2,AFM65NU0UXIGP,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_02.wav
393,2,A3HCGNV93TJO7R,no Kimmy is kicking Tommy,I know Kim is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3HCGNV93TJO7R_prosody_study_exp7_01_20_2020_trial_02.wav
391,2,A1AYYDLZ60894L,no Kimmy is kicking Tommy,alchemia sticking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1AYYDLZ60894L_prosody_study_exp7_01_20_2020_trial_02.wav
446,2,A1PTH9KTRO06EG,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_02.wav
