participant,presentationnum,verb,condition,item,targword,question,yesno,list,version,index,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,sp,sp,1,1.038,0,1.038,0.0124716553288,222.312,231.16,0.972,218.24,1.003,--undefined--,--undefined--,--undefined--,222.312,19.823,82.895
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,NO,NO,2,0.489,0,0.489,1.05011337868,209.760,316.26,0.205,79.47,0.285,229.310,230.133,110.622,--undefined--,59.728,84.590
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,sp,sp,1,0.210,0,0.210,1.53900226757,259.813,263.94,0.146,247.72,0.210,--undefined--,259.769,260.944,258.693,66.767,80.213
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,KIMMEY,KIMMEY,4,0.379,0,0.379,1.7485260771,177.641,247.72,0,110.43,0.216,210.579,153.699,163.794,--undefined--,68.439,81.615
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,IS,IS,2,0.090,0,0.090,2.12766439909,178.185,192.92,0.047,155.58,0.090,--undefined--,192.921,187.683,166.787,75.652,83.117
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,KICKING,KICKING,5,0.449,0,0.449,2.21746031746,143.073,168.03,0.347,128.41,0.158,147.461,135.728,139.033,149.936,62.874,78.269
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,TOMMY,TOMMY,4,0.609,0,0.609,2.6664399093,124.398,135.59,0.057,106.04,0.148,125.476,109.586,--undefined--,--undefined--,33.384,66.665
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,01,sp,sp,0,1.407,0,1.407,3.27505668934,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,6.675,16.796
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,02,sp,sp,1,0.878,0,0.878,0.0124716553288,83.765,84.99,0.840,82.42,0.872,--undefined--,--undefined--,--undefined--,83.765,21.000,77.062
A2BNOEYZ3VRW2R,prosody,study,exp1,11,10,2019,trial,02,NO,NO,2,0.449,0,0.449,0.890476190476,171.696,210.90,0.342,82.93,0,154.393,161.561,195.485,210.885,71.592,82.962
